Date,Actual_Return,HS_VaR_99,HS_ES_99,Param_VaR_99,Param_ES_99,MC_GARCH_VaR_99,MC_GARCH_ES_99
2022-12-06,-0.0041465598516785,-0.01640093297769027,-0.0222328410980498,-0.015710546523935883,-0.01799560131559847,-0.02335418880028758,-0.027808640694750364
2022-12-07,0.0039423474824719,-0.01640093297769027,-0.0222328410980498,-0.015727328316152527,-0.018012566432318914,-0.022675855601359457,-0.025037160605721993
2022-12-08,0.0018337067042014,-0.01640093297769027,-0.0222328410980498,-0.015724574071971423,-0.018010607630081974,-0.02393103222852953,-0.025886927400531223
2022-12-09,-0.0067686639083203,-0.01640093297769027,-0.0222328410980498,-0.015715970990983607,-0.018001934777329302,-0.021636127580271832,-0.024676074985543327
2022-12-12,0.0052485065502021,-0.01640093297769027,-0.0222328410980498,-0.015739117235325374,-0.018024172761601117,-0.021477577724622485,-0.026068849358854545
2022-12-13,0.0111573924138788,-0.01640093297769027,-0.0222328410980498,-0.015740383199996676,-0.018026746481675144,-0.020676691661552348,-0.02403302781179009
2022-12-14,-0.0005574693253771,-0.01640093297769027,-0.0222328410980498,-0.015762911453263317,-0.018054423347316256,-0.022136629783183787,-0.025899317797652956
2022-12-15,-0.0120133069769811,-0.01640093297769027,-0.0222328410980498,-0.015756673284041216,-0.01804786933023081,-0.01941525116934195,-0.023640959431427848
2022-12-16,-0.0078974007793019,-0.01640093297769027,-0.0222328410980498,-0.01581527942356967,-0.018112762525514935,-0.02214670948809468,-0.025315505564764383
2022-12-19,-0.0059905945804398,-0.01640093297769027,-0.0222328410980498,-0.015848825192582534,-0.018149300291941763,-0.01996606499939944,-0.023980251910973648
2022-12-20,-0.0012047254360071,-0.01640093297769027,-0.0222328410980498,-0.015875635947378754,-0.018177398005295057,-0.02014983376537317,-0.022335797021360754
2022-12-21,0.0086618983848152,-0.01640093297769027,-0.0222328410980498,-0.01588121104807673,-0.018182525943319636,-0.020942921315730917,-0.02392911615417475
2022-12-22,-0.0065263459883168,-0.01640093297769027,-0.0222328410980498,-0.015892566188253014,-0.018197489671072264,-0.01946670323670397,-0.022872375691401707
2022-12-23,0.0014278180220139,-0.01640093297769027,-0.0222328410980498,-0.015921670738801,-0.018228592809759536,-0.021064463479570403,-0.024264024295468433
2022-12-27,-0.0037032696744676,-0.01640093297769027,-0.0222328410980498,-0.01592191704270288,-0.018228139142944966,-0.01999433918261773,-0.022591643235294553
2022-12-28,-0.0088307727379281,-0.01640093297769027,-0.0222328410980498,-0.0159364706062198,-0.018243009029505593,-0.019541798472832113,-0.022973943725830902
2022-12-29,0.0113862048112426,-0.01640093297769027,-0.0222328410980498,-0.015970380578040705,-0.018280226542471772,-0.019907121456318205,-0.02196064276478681
2022-12-30,-0.0034784294759514,-0.01640093297769027,-0.0222328410980498,-0.01599253774230045,-0.01830725641896081,-0.020949496104108838,-0.023066908720554058
2023-01-03,0.0028620901189754,-0.01640093297769027,-0.0222328410980498,-0.01598973912507588,-0.018304230659872838,-0.020430687892974034,-0.023501238243198372
2023-01-04,0.0085302960463007,-0.01640093297769027,-0.0222328410980498,-0.015989733871583874,-0.01830427141698112,-0.01872854105457611,-0.021565479949519843
2023-01-05,-0.0061380442034197,-0.01640093297769027,-0.0222328410980498,-0.016000249337979708,-0.018318339761393517,-0.018942848373282004,-0.020904313408189705
2023-01-06,0.0171851588956192,-0.01640093297769027,-0.0222328410980498,-0.01599758776943705,-0.018315414173991358,-0.018947537461211528,-0.022401189188394885
2023-01-09,0.0036400758696168,-0.01640093297769027,-0.0222328410980498,-0.016066806548131578,-0.0183985696940678,-0.018937163632103668,-0.02160405656150144
2023-01-10,-0.0011393745545952,-0.01640093297769027,-0.0222328410980498,-0.016066879386370476,-0.018398700151030924,-0.02070773406658155,-0.023581374905532516
2023-01-11,0.0112339542805539,-0.01640093297769027,-0.0222328410980498,-0.01607071289432879,-0.018402564695608258,-0.020530897802789314,-0.02373893258395351
2023-01-12,0.0093843419674652,-0.01640093297769027,-0.0222328410980498,-0.01607556741264905,-0.018412711473799116,-0.019738240772076757,-0.02170600219978184
2023-01-13,0.0015202809031942,-0.01640093297769027,-0.0222328410980498,-0.016087638447394203,-0.018427714134085813,-0.018916473982683125,-0.021280197541031155
2023-01-17,-0.001870609160273,-0.01640093297769027,-0.0222328410980498,-0.01608031321952862,-0.01841749308376764,-0.020097146087338733,-0.022780477002679704
2023-01-18,-0.0017718441345561,-0.01640093297769027,-0.0222328410980498,-0.01608278790621223,-0.01842008444179639,-0.019834683594734313,-0.02361354742249358
2023-01-19,-0.0014203906638938,-0.01640093297769027,-0.0222328410980498,-0.01607433215313631,-0.018411027672916074,-0.017748977491481174,-0.021148034954913436
2023-01-20,0.0040507706688692,-0.01640093297769027,-0.0222328410980498,-0.016079458919759978,-0.01841507951039961,-0.01944235169776844,-0.021960010467408187
2023-01-23,0.0026480676285901,-0.01640093297769027,-0.0222328410980498,-0.01607644071705849,-0.018412883114164162,-0.01829212504591889,-0.021549046418087726
2023-01-24,0.0025538743603616,-0.01640093297769027,-0.0222328410980498,-0.01601150297135139,-0.018342439760954145,-0.0175984431616643,-0.019653509075060974
2023-01-25,0.0017693518699405,-0.01640093297769027,-0.0222328410980498,-0.01601102293271576,-0.018342141342034244,-0.017541737445861613,-0.01956126481332098
2023-01-26,0.0034487583342146,-0.01640093297769027,-0.0222328410980498,-0.015959366145360164,-0.018286227309187872,-0.016360955143389116,-0.018521621567043605
2023-01-27,-0.0011068357607953,-0.01640093297769027,-0.0222328410980498,-0.015935883867022,-0.018257044185027167,-0.01746099410599149,-0.02151395513724489
2023-01-30,-0.0079059885659102,-0.01640093297769027,-0.0222328410980498,-0.015941094444668184,-0.01826154514721768,-0.017425563019935805,-0.021707580412837095
2023-01-31,0.0094995616914305,-0.01640093297769027,-0.0222328410980498,-0.015977429355359805,-0.01830095867837777,-0.017601404510517928,-0.02004092328044445
2023-02-01,0.0072730825939153,-0.01640093297769027,-0.0222328410980498,-0.015991132016408463,-0.01831906506572002,-0.017310985270180865,-0.020016103583825377
2023-02-02,0.0026491281261058,-0.01640093297769027,-0.0222328410980498,-0.01599748577892938,-0.018327638611736984,-0.017326359509574094,-0.020730061274384533
2023-02-03,-0.0147482589159739,-0.01640093297769027,-0.0222328410980498,-0.015995277918854342,-0.01832427438919481,-0.01582357498741245,-0.01859982801905601
2023-02-06,-0.0055008329373666,-0.01640093297769027,-0.0222328410980498,-0.016100778152287814,-0.018440255559584937,-0.018432586376260465,-0.02059664364201622
2023-02-07,0.0041128083323221,-0.01640093297769027,-0.0222328410980498,-0.016124006182591737,-0.018464829234269193,-0.018534715789399917,-0.021138456063234494
2023-02-08,-0.0011754632618911,-0.01640093297769027,-0.0222328410980498,-0.016121506934575966,-0.01846318156070719,-0.017633846511347483,-0.019734519482097153
2023-02-09,-0.0064598979497206,-0.01640093297769027,-0.0222328410980498,-0.01612519150612993,-0.01846691375815433,-0.018753796628690776,-0.02059099977715955
2023-02-10,-0.0012748799906281,-0.01640093297769027,-0.0222328410980498,-0.016143787626031945,-0.018487154048102472,-0.018442005126686433,-0.020778449615732532
2023-02-13,0.006068295323077,-0.01640093297769027,-0.0222328410980498,-0.016145381825151166,-0.018488802901782436,-0.017572352827766733,-0.01957893997294857
2023-02-14,-0.0007550593127272,-0.01640093297769027,-0.0222328410980498,-0.016133574671670134,-0.01847814635944616,-0.016891680661817537,-0.019167483136243734
2023-02-15,-0.0035019280739947,-0.01640093297769027,-0.0222328410980498,-0.01613141106049108,-0.018475896882192717,-0.01550951409428375,-0.017449225109927725
2023-02-16,-0.0074013898196886,-0.01640093297769027,-0.0222328410980498,-0.01614101371385078,-0.01848606925545727,-0.015669566568176568,-0.017518519644871253
2023-02-17,0.0001117881632513,-0.01640093297769027,-0.0222328410980498,-0.0161762143434345,-0.01852379850911986,-0.01512054563467534,-0.017035163069444578
2023-02-21,-0.0130304110310998,-0.01640093297769027,-0.0222328410980498,-0.01617859607402221,-0.01852546165133671,-0.015314453048139871,-0.01708852482163354
